name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Tofu yogurt;100;94;1.8;0;35;3.5;15.96;0.2;1.24;vitamin a
Celery;100;16;0.2;0;80;0.69;2.97;1.6;1.34;vitamin a
Feijoa;100;61;0.4;0;3;0.71;15.21;6.4;8.2;vitamin c
Jujube;100;79;0.2;0;3;1.2;20.23;0;0;vitamin c
Clif Z bar;100;409;9.7;0;375;5.55;74.72;8.3;30.56;vitamin c
Fish broth;100;16;0.6;0;318;2;0.4;0;0.09;vitamin a
Eppaw;100;150;1.8;0;12;4.6;31.68;0;0;vitamin c
Limes;100;30;0.2;0;2;0.7;10.54;2.8;1.69;vitamin a
Plums;100;46;0.3;0;0;0.7;11.42;1.4;9.92;vitamin a
Rowal;100;111;2;0;4;2.3;23.9;6.2;14.1;vitamin a
Beets;100;43;0.2;0;78;1.61;9.56;2.8;6.76;vitamin a
Buckwheat;100;343;3.4;0;1;13.25;71.5;10;0;vitamin b6
Triticale;100;336;2.1;0;5;13.05;72.13;0;0;vitamin e
Rye grain;100;338;1.6;0;2;10.34;75.86;15.1;0.98;vitamin a
Dock;100;22;0.7;0;4;2;3.2;2.9;0;vitamin a
Okra;100;33;0.2;0;7;1.93;7.45;3.2;1.48;vitamin a
Goat;100;109;2.3;57;82;20.6;0;0;0;vitamin b12
Molasses;100;290;0.1;0;37;0;74.73;0;74.72;vitamin b6
Zwieback;100;426;9.7;8;227;10.1;74.2;2.5;12.5;vitamin a
